Date,Reading0am,Reading0pm,Exercise0am,Exercise0pm,Coding0am,Coding0pm,English0am,English0pm
2019/11/07,0,0,5,0,0,60,0,0
2019/11/06,0,0,0,40,0,0,0,0
2019/11/05,0,0,0,0,0,0,5,60
2019/11/04,90,0,30,0,0,60,0,0
2019/11/03,60,60,15,0,0,0,0,0
2019/11/02,0,0,0,0,0,0,0,0
2019/11/01,0,0,0,0,0,0,0,0
2019/10/31,0,0,0,0,0,0,0,0
2019/10/30,0,0,0,40,0,0,0,0
2019/10/29,0,0,0,0,0,120,10,40
2019/10/28,0,0,0,0,0,30,0,0
2019/10/27,60,0,20,40,0,120,0,0
2019/10/26,0,0,0,0,0,0,0,0
2019/10/25,0,0,0,40,0,0,0,0
2019/10/24,0,0,0,0,0,0,0,40
2019/10/23,0,0,9,50,0,60,0,0
2019/10/22,0,0,0,0,0,120,0,0
2019/10/21,30,30,0,0,0,0,0,0
2019/10/20,30,0,0,0,0,0,0,0
2019/10/19,0,0,0,0,0,0,0,0
2019/10/18,0,0,8,0,0,0,0,0
2019/10/17,0,0,15,0,0,90,7,0
2019/10/16,0,0,0,41,0,0,0,0
2019/10/15,0,0,8,0,0,16,0,60
2019/10/14,90,0,60,0,0,220,0,0
